1;Hydrogen;H
2;Helium;He
3;Lithium;Li
4;Beryllium;Be
5;Bor;B
6;Carbon;C
7;Nitrogen;N
8;Oxygen;O
9;Fluor;F
10;Neon;Ne
11;Natrium;Na
12;Magnesium;Mg
13;Aluminium;Al
14;Silicium;Si
15;Fosfor;P
16;Svovl;S
17;Klor;Cl
18;Argon;Ar
19;Kalium;K
20;Calcium;Ca
21;Scandium;Sc
22;Titan;Ti
23;Vanadium;V
24;Krom;Cr
25;Mangan;Mn
26;Jern;Fe
27;Kobolt;Co
28;Nikkel;Ni
29;Kobber;Cu
30;Zink;Zn
31;Gallium;Ga
32;Germanium;Ge
33;Arsen;As
34;Selen;Se
35;Brom;Br
36;Krypton;Kr
37;Rubidium;Rb
38;Strontium;Sr
39;Yttrium;Y
40;Zirconium;Zr
41;Niobium;Nb
42;Molybdæn;Mo
43;Technetium;Tc
44;Ruthenium;Ru
45;Rhodium;Rh
46;Palladium;Pd
47;Sølv;Ag
48;Cadmium;Cd
49;Indium;In
50;Tin;Sn
51;Antimon;Sb
52;Tellur;Te
53;Iod;I
54;Xenon;Xe
55;Cæsium;Cs
56;Barium;Ba
57;Lanthan;La
58;Cerium;Ce
59;Praseodym;Pr
60;Neodym;Nd
61;Promethium;Pm
62;Samarium;Sm
63;Europium;Eu
64;Gadolinium;Gd
65;Terbium;Tb
66;Dysprosium;Dy
67;Holmium;Ho
68;Erbium;Er
69;Thulium;Tm
70;Ytterbium;Yb
71;Lutetium;Lu
72;Hafnium;Hf
73;Tantal;Ta
74;Wolfram;W
75;Rhenium;Re
76;Osmium;Os
77;Iridium;Ir
78;Platin;Pt
79;Guld;Au
80;Kviksølv;Hg
81;Thallium;Tl
82;Bly;Pb
83;Bismuth;Bi
84;Polonium;Po
85;Astat;At
86;Radon;Rn
87;Francium;Fr
88;Radium;Ra
89;Actinium;Ac
90;Thorium;Th
91;Protactinium;Pa
92;Uran;U
93;Neptunium;Np
94;Plutonium;Pu
95;Americium;Am
96;Curium;Cm
97;Berkelium;Bk
98;Californium;Cf
99;Einsteinium;Es
100;Fermium;Fm
101;Mendelevium;Md
102;Nobelium;No
103;Lawrencium;Lr
104;Rutherfordium;Rf
105;Dubnium;Db
106;Seaborgium;Sg
107;Bohrium;Bh
108;Hassium;Hs
109;Meitnerium;Mt
110;Darmstadtium;Ds
111;Røntgenium;Rg
112;Copernicium;Cn
113;Nihonium;Nh
114;Flerovium;Fl
115;Moscovium;Mc
116;Livermorium;Lv
117;Tennessin;Ts
118;Oganesson;Og
