1;56Fe;56;26;30;
2;62Ni;62;28;34;
3;60Ni;60;28;32;
4;58Fe;58;26;32;
5;52Cr;52;24;28;
6;57Fe;57;26;31;
7;59Co;59;27;32;
8;54Cr;54;24;30;
9;61Ni;61;28;33;
10;55Mn;55;25;30;
11;64Ni;64;28;36;
12;66Zn;66;30;36;
13;53Cr;53;24;29;
14;63Cu;63;29;34;
15;65Cu;65;29;36;
16;68Zn;68;30;38;
17;50Ti;50;22;28;
18;51V;51;23;28;
19;67Zn;67;30;37;
20;48Ti;48;22;26;
21;72Ge;72;32;40;
22;70Ge;70;32;38;
23;69Ga;69;31;38;
24;88Sr;88;38;50;
25;74Ge;74;32;42;
26;49Ti;49;22;27;
27;76Se;76;34;42;
28;71Ga;71;31;40;
29;78Se;78;34;44;
30;90Zr;90;40;50;
31;89Y;89;39;50;
32;86Sr;86;38;48;
33;82Kr;82;36;46;
34;84Kr;84;36;48;
35;73Ge;73;32;41;
36;87Sr;87;38;49;
37;75As;75;33;42;
38;80Kr;80;36;44;
39;77Se;77;34;43;
40;85Rb;85;37;48;
41;91Zr;91;40;51;
42;83Kr;83;36;47;
43;79Br;79;35;44;
44;81Br;81;35;46;
45;92Zr;92;40;52;
46;46Ti;46;22;24;
47;47Ti;47;22;25;
48;44Ca;44;20;24;
49;94Mo;94;42;52;
50;93Nb;93;41;52;
51;96Mo;96;42;54;
52;95Mo;95;42;53;
53;42Ca;42;20;22;
54;38Ar;38;18;20;
55;45Sc;45;21;24;
56;97Mo;97;42;55;
57;98Ru;98;44;54;
58;43Ca;43;20;23;
59;100Ru;100;44;56;
60;99Ru;99;44;55;
61;34S;34;16;18;
62;40Ar;40;18;22;
63;102Ru;102;44;58;
64;101Ru;101;44;57;
65;41K;41;19;22;
66;39K;39;19;20;
67;104Pd;104;46;58;
68;37Cl;37;17;20;
69;103Rh;103;45;58;
70;36S;36;16;20;
71;106Pd;106;46;60;
72;105Pd;105;46;59;
73;35Cl;35;17;18;
74;108Pd;108;46;62;
75;107Ag;107;47;60;
76;110Cd;110;48;62;
77;30Si;30;14;16;
78;109Ag;109;47;62;
79;32S;32;16;16;
80;33S;33;16;17;
81;31P;31;15;16;
82;28Si;28;14;14;
83;29Si;29;14;15;
84;112Cd;112;48;64;
85;111Cd;111;48;63;
86;114Sn;114;50;64;
87;113In;113;49;64;
88;116Sn;116;50;66;
89;115Sn;115;50;65;
90;118Sn;118;50;68;
91;117Sn;117;50;67;
92;120Sn;120;50;70;
93;119Sn;119;50;69;
94;121Sb;121;51;70;
95;122Te;122;52;70;
96;124Te;124;52;72;
97;123Sb;123;51;72;
98;126Te;126;52;74;
99;125Te;125;52;73;
100;128Xe;128;54;74;
101;127I;127;53;74;
102;130Xe;130;54;76;
103;129Xe;129;54;75;
104;132Xe;132;54;78;
105;131Xe;131;54;77;
106;134Ba;134;56;78;
107;133Cs;133;55;78;
108;136Ba;136;56;80;
109;135Ba;135;56;79;
110;137Ba;137;56;81;
111;138Ba;138;56;82;
112;27Al;27;13;14;
113;140Ce;140;58;82;
114;139La;139;57;82;
115;26Mg;26;12;14;
116;141Pr;141;59;82;
117;142Nd;142;60;82;
118;24Mg;24;12;12;
119;25Mg;25;12;13;
120;156Gd;156;64;92;
121;157Gd;157;64;93;
122;158Gd;158;64;94;
123;159Tb;159;65;94;
124;23Na;23;11;12;
125;163Dy;163;66;97;
126;164Dy;164;66;98;
127;22Ne;22;10;12;
128;20Ne;20;10;10;
129;16O;16;8;8;
130;21Ne;21;10;11;
131;19F;19;9;10;
132;17O;17;8;9;
133;18O;18;8;10;
134;12C;12;6;6;
135;15N;15;7;8;
136;14N;14;7;7;
137;13C;13;6;7;
138;4He;4;2;2;
139;11B;11;5;6;
140;10B;10;5;5;
141;9Be;9;4;5;
142;7Li;7;3;4;
143;6Li;6;3;3;
144;3He;3;2;1;
145;2H;2;1;1;
146;1H;1;1;0;
